index,titles
1,Machine Learning: 2 Books in 1: An Introduction Math Guide for Beginners to Unde
2,Freehand Machine Embroidery: Learning to draw with your sewing m
3,Machine Learning for Absolute Beginners: A Plain English Introdu
4,"Machine Learning with Tensorflow by Shukla, Nishant"
5,Machine Learning revised and updated edition by Ethem Alpaydin  NEW Book
6,Machine Learning For Beginners
7,Machine Learning for Beginners: The Beginner's Guide to Understand Artificial In
8,"Machine Learning For Dummies by Massaron, Luca,Mueller, John Paul, NEW Book, FRE"
9,Machine Learning for Beginners: The Beginner's Guide to Understand Artificial In
10,Machine Learning For Dummies by John Paul MuellerLuca Massaron  NEW Book
11,Machine Learning Interview Questions and Answers by Geoffrey Ziskovin (English) 
12,"Freehand Machine Embroidery : Learning to Draw With Your Machine, Paperback b..."
13,Machine Learning for Predictive Analysis: Proceedings of ICTIS 2020
14,"Machine Learning For Kids: A Hands-On Guide to , Lane*-"
15,Machine Learning : by Denny Novikov - Paperback Book
16,Introducing Machine Learning by Dino Esposito (English) Paperback Book
17,Machine Learning for Hackers by Drew Conway 9781449303716 NEW Book
18,Machine Learning With Python: 3 books in 1: Hands-On Learning for...
19,Machine Learning for Marketing
20,Python Machine Learning - Sebastian Raschka
21,"Programming Machine Learning by Perrotta, Paolo, NEW Book, FREE & FAST Delivery,"
22,Machine Learning for Managers by Paul Geertsema Paperback Book
23,Machine Learning for iOS Developers by Abhishek Mishra (English) Paperback Book
24,Practical Machine Learning in R by Fred Nwanganga (English) Paperback Book
25,Python Machine Learning by Wei-Meng Lee (English) Paperback Book
26,"Machine Learning with TensorFlow by Shukla, Nishant, NEW Book, FREE & FAST Deliv"
27,The Hundred-Page Machine Learning Book by Andriy Burkov
28,Machine Learning Design Interview: Machine Learning System Design Interview
29,Machine Learning in Translation by Peng Wang Paperback Book
30,Machine Learning: A Practitioner's Approach by Vinod Chandra Paperback Book
31,"Machine Learning with R, tidyverse, and mlr by Rhys, Hefin, NEW Book, FREE & FAS"
32,Machine Learning
33,Machine Learning for Managers by Paul Geertsema Paperback Book
34,Introducing Machine Learning by Dino Esposito (English) Paperback Book
35,Machine Learning Techniques for Cybersecurity by Elisa Bertino Hardcover Book
36,Bayesian Reasoning And Machine Learning	By David Barber PAPERBACK BOOK
37,"Learning Tensorflow.js: Machine Learning in JavaScript, Laborde 9781492090793.."
38,Learning Ray: Flexible Distributed Python for Machine Learning by Max Pumperla (
39,"Interpretable Machine Learning by Molnar, Christoph, NEW Book, FREE & FAST Deliv"
40,"Interperetable AI: Building Explainable Machine Learning Systems by , NEW Book, "
41,"Machine Learning in Java by Kaluza, Bostjan"
42,"Machine Learning Fundamentals: A Concise Introduction by Jiang, Hui, NEW Book, F"
43,"Machine Learning Engineering by Burkov, Andriy, NEW Book, FREE & FAST Delivery, "
44,Machine Learning Engineering
45,"Machine Learning Engineering in Action by Wilson, Ben, NEW Book, FREE & FAST Del"
46,Machine Learning with oneAPI by Shriram K. Vasudevan Paperback Book
47,Machine learning at work  #WM2KWL
48,Introducing Machine Learning by Dino Esposito (English) Paperback Book
49,"Building Machine Learning Powered Applications:, Ameisen.."
50,Machine learning (machine learning) and deep learning (deep learning) Si #WP6FZJ
51,"Grokking Machine Learning by Serrano, Luis, NEW Book, FREE & FAST Delivery, (Pap"
52,MACHINE LEARNING: AN ARTIFICIAL INTELLIGENCE APPROACH By Ryszard S. Michalski
53,"Machine Learning Design Patterns: Solutions to , Lakshmanan.."
54,"AI and Machine Learning For Coders: A Programme, Moroney.."
55,Applied Machine Learning and AI for Engineers: Solve Business Problems That Can'
56,Reliable Machine Learning: Applying SRE Principles to ML in Production by Cathy 
57,Machine Learning: 4 Books in 1: A Complete Overview for Beginners to Master t...
58,Machine Learning with SAS Viya by Sas Institute Inc: New
59,Machine Learning: 4 Books in 1: A Complete Overview for Beginner
60,New ListingPrivacy-Preserving Machine Learning by Jin Li (English) Paperback Book
